word,information_gain,percentage_suicide,percentage_non_suicide
自制,0.0012799214951093596,3.76%,96.24%
出游,0.0009652327132599892,1.18%,98.82%
搭配,0.0029704595734995065,1.50%,98.50%
适量,0.0008923658209699648,2.35%,97.65%
可口,0.0010021607966016477,1.14%,98.86%
沉淀,0.0005611672983825144,1.92%,98.08%
腌制,0.00040378636319726713,2.56%,97.44%
切成,0.0004520389096424049,2.33%,97.67%
旅行,0.01582812351606311,2.24%,97.76%
播,0.0013951918744413705,18.44%,81.56%
展,0.0018951731289984508,19.50%,80.50%
混合,0.00034537673767831567,5.13%,94.87%
必备,0.0005611672983825144,1.92%,98.08%
煎,5.021190017862054e-05,42.91%,57.09%
炫,0.000782153028658028,12.03%,87.97%
回血,0.0003079277293980276,3.23%,96.77%
查理,0.00033179578530417864,3.03%,96.97%
搭,0.005631775108248638,9.84%,90.16%
萌,0.02212427341306522,0.95%,99.05%
合集,0.0006399082234346265,3.12%,96.88%
煲,0.0006794699965442241,5.19%,94.81%
抵达,0.0003079277293980276,3.23%,96.77%
隐入,0.0003198525503642635,3.12%,96.88%
有意,2.5705544019927196e-05,54.57%,45.43%
得意,0.00032231193689680193,5.41%,94.59%
取决于,0.0002486270932928747,3.85%,96.15%
烹饪,0.000272276528269777,3.57%,96.43%
发型,0.00040378636319726713,2.56%,97.44%
上身,0.00023128969279495593,9.09%,90.91%
露营,0.0005447056013569984,3.57%,96.43%
观看,0.0008306585973649749,4.44%,95.56%
出出,0.0009010151279315037,4.17%,95.83%
绝育,0.0002250898804274648,4.17%,95.83%
发酵,0.00015538158883587894,5.56%,94.44%
救助,0.00016688292196886945,5.26%,94.74%
可可,0.001212286702664378,2.56%,97.44%
做法,0.004999466049833146,2.51%,97.49%
料理,0.00033179578530417864,3.03%,96.97%
浸泡,0.000201684724976392,4.55%,95.45%
摆摊,0.000272276528269777,3.57%,96.43%
自取,0.00023132689088656289,6.90%,93.10%
备用,0.0006041285050588652,3.28%,96.72%
开水,0.00018563338616206515,15.38%,84.62%
下饭,0.0018119843930074486,12.58%,87.42%
选手,0.000651853828704474,3.08%,96.92%
赏,0.0024816315440218117,7.69%,92.31%
猜猜,0.0001677000341475665,11.11%,88.89%
喧哗,0.00023684333343199082,4.00%,96.00%
贩,0.00041640175318558015,11.59%,88.41%
好喝,0.0008722970309128497,9.45%,90.55%
确,0.001678703208096488,69.97%,30.03%
自驾,0.0004034596928359502,4.55%,95.45%
出有,0.00022053042733294337,9.38%,90.62%
腌,0.000722672672916147,3.95%,96.05%
加入,0.0012123454284754809,7.14%,92.86%
烤,0.00455821841159243,5.09%,94.91%
品尝,0.0004205652696295248,6.00%,94.00%
润,0.0008271230591855305,6.80%,93.20%
升级,0.0001900393994349603,4.76%,95.24%
焯,0.00024256647028297884,6.67%,93.33%
炖,0.0014178166135498937,2.24%,97.76%
碰撞,0.000201684724976392,4.55%,95.45%
出版,0.000201684724976392,4.55%,95.45%
审美,0.0001900393994349603,4.76%,95.24%
开饭,0.00048558776045759533,3.92%,96.08%
忌,8.192134182472e-05,67.11%,32.89%
修身,0.00015538158883587894,5.56%,94.44%
邮,0.0019075492089594137,7.35%,92.65%
配上,0.0008914525960805886,1.27%,98.73%
限定,0.0003801602400158588,4.76%,95.24%
制作,0.0009516160940197249,6.14%,93.86%
翻译,0.0004289911387621581,8.47%,91.53%
行走,0.0002250898804274648,4.17%,95.83%
免,0.00016698962537076145,36.78%,63.22%
携,0.000783798072610975,2.63%,97.37%
炒,0.005034554230697985,3.98%,96.02%
有偿,0.0007202054024468829,5.88%,94.12%
蘸,0.0003797322033609607,2.70%,97.30%
防晒,0.00020982971762484315,9.68%,90.32%
练习,0.00034537673767831567,5.13%,94.87%
跳跃,0.00014343204286548783,9.52%,90.48%
烘焙,0.00015538158883587894,5.56%,94.44%
乃,0.00028996394048241836,10.87%,89.13%
致敬,0.00016688292196886945,5.26%,94.74%
提拉,0.00012126417633873121,6.67%,93.33%
投资,0.00012126417633873121,6.67%,93.33%
重逢,0.0001784372880713203,5.00%,95.00%
串,0.0005072898289971706,16.95%,83.05%
不负,5.761603618215094e-05,37.37%,62.63%
包,0.0066266539669380675,18.06%,81.94%
尝尝,0.000356947667392693,5.00%,95.00%
赢得,0.00024256647028297884,6.67%,93.33%
舒展,0.0001325640823636176,6.25%,93.75%
考古,0.00014393951149838102,5.88%,94.12%
显,4.9817380815553314e-05,44.52%,55.48%
打滚,0.00015417485686042287,9.09%,90.91%
暴走,0.00014393951149838102,5.88%,94.12%
担当,0.00016688292196886945,5.26%,94.74%
拌,0.003439744323590732,2.17%,97.83%
开胃,0.0007477227636862871,2.74%,97.26%
挖,0.00016665151246531007,29.63%,70.37%
位,0.000979627997219068,35.19%,64.81%
富有,0.0002651723737863154,6.25%,93.75%
游览,0.00012126417633873121,6.67%,93.33%
取舍,0.00012126417633873121,6.67%,93.33%
影像,0.0001325640823636176,6.25%,93.75%
煮,0.0019289394351431621,7.57%,92.43%
放生,1.7380508527953253e-05,20.00%,80.00%
相逢,0.0002651723737863154,6.25%,93.75%
烧烤,0.0012630083352765942,6.00%,94.00%
打卡,0.006662883458508295,6.54%,93.46%
善,0.0001151847853736454,43.21%,56.79%
放进,0.00017812150136820026,10.71%,89.29%
初体验,0.0001325640823636176,6.25%,93.75%
实惠,0.0001325640823636176,6.25%,93.75%
萌化,0.00015538158883587894,5.56%,94.44%
抓拍,0.00012126417633873121,6.67%,93.33%
涮,0.00015538158883587894,5.56%,94.44%
居,0.0002840611762335854,37.99%,62.01%
打分,0.00015538158883587894,5.56%,94.44%
通道,4.524473192701883e-05,23.53%,76.47%
在职,4.524473192701883e-05,23.53%,76.47%
举办,0.00012126417633873121,6.67%,93.33%
调味料,6.638276517823005e-05,10.00%,90.00%
勾,0.0003428857571687871,21.62%,78.38%
超爱,0.00045028896293919374,4.17%,95.83%
出行,0.000468260294633871,10.81%,89.19%
滑,0.0026097578692696466,10.90%,89.10%
尝,0.00011395075182207837,41.19%,58.81%
超越,0.0001868687239527933,8.00%,92.00%
运费,0.00011005057599799972,7.14%,92.86%
闪现,0.00011005057599799972,7.14%,92.86%
翻车,0.00012126417633873121,6.67%,93.33%
还原,0.00011005057599799972,7.14%,92.86%
独有,9.130334492601921e-05,12.50%,87.50%
料,0.0032433001815719287,12.93%,87.07%
贴纸,0.00011005057599799972,7.14%,92.86%
开展,8.7938745200411e-05,8.33%,91.67%
蹲,0.0022901099504262223,11.14%,88.86%
回顾,0.00030842281045528885,9.09%,90.91%
剪,0.0009723811144874972,16.89%,83.11%
入手,0.00020899017133602094,7.41%,92.59%
回味,0.00032231193689680193,5.41%,94.59%
吃喝,0.000770390270229182,8.49%,91.51%
收,0.008892943790886565,17.09%,82.91%
起飞,0.00022013362968398287,7.14%,92.86%
骑行,0.00020899017133602094,7.41%,92.59%
呈现出,5.214761347538399e-05,20.00%,80.00%
预售,8.7938745200411e-05,8.33%,91.67%
炒蛋,0.00011178897091512763,11.11%,88.89%
拆封,9.893656110326887e-05,7.69%,92.31%
标配,9.893656110326887e-05,7.69%,92.31%
限量版,0.00012126417633873121,6.67%,93.33%
复习,0.0006067022724024485,6.67%,93.33%
喂食,0.00034537673767831567,5.13%,94.87%
合作,0.00017590004265877202,8.33%,91.67%
出发,0.0007872396028943962,12.41%,87.59%
切,0.000302652424962524,57.03%,42.97%
贴心,0.00013696719621747455,12.50%,87.50%
活出,0.0001488744573970857,21.28%,78.72%
悟,0.0002216289340571942,26.42%,73.58%
煮沸,9.893656110326887e-05,7.69%,92.31%
讲究,8.7938745200411e-05,8.33%,91.67%
鼓,5.364368569160671e-05,56.87%,43.13%
不失,4.518526393992861e-05,28.00%,72.00%
拍下,0.00013696719621747455,12.50%,87.50%
互换,7.707829510827935e-05,9.09%,90.91%
解冻,8.7938745200411e-05,8.33%,91.67%
猫,0.035532232243551065,6.82%,93.18%
请勿,6.638276517823005e-05,10.00%,90.00%
出书,7.707829510827935e-05,9.09%,90.91%
续费,5.588896077601824e-05,11.11%,88.89%
诠释,8.7938745200411e-05,8.33%,91.67%
攻略,0.0006292774069815987,6.49%,93.51%
扭,1.5148600530312528e-05,56.44%,43.56%
演绎,0.00015417485686042287,9.09%,90.91%
设计,0.0008913638823188075,8.26%,91.74%
露,0.0004027238079294948,32.98%,67.02%
漫步,0.0002748439846651518,8.11%,91.89%
从容,0.0004180914591424001,8.62%,91.38%
展示,0.0005505778275566309,7.14%,92.86%
迎,0.001630226125337031,20.65%,79.35%
寫,6.12826332180294e-06,66.67%,33.33%
报恩,7.707829510827935e-05,9.09%,90.91%
